,tweet,labels
2,aku mau ngentot sama kamu,3
3,manusia kampret bernama syahroni daud ini akhirnya mengaku salah sudah menuduh ada telur palsu dan meminta maf htpsx,3
5,ada akun ketepu jutantp biarlah itu akun kapir cebongx,3
6,knpsih dosen tiap adzan engak pernah break dulu mencerocos mulu kunyuk,3
7,terus eror jo kampang kau kemaren terus,3
10,mau doi cuman pencitran aplot aplot dih di personal nya salty jiun mulu sompret,3
11,bodo jangan ganguin kesayangan gue lu,3
13,giliran bela ahok tau kapir atau bukan cuma tuhan tapi urusan sorga dia kaplingnliberalkocak inusgelo,3
14,astaga bolot banget dia,3
17,iya betul sih vivin tahi dasar pelakorngaku alealda rico bajxa,3
18,alah bacot congor lu bau,3
19,bilang sayang duluan lu juga yang ningalin gua duluan kntl,3
20,mengaku wartawan tapi kosakata lu gembel ax,3
21,galak kalo mengomong sibuk klarifikasi dasar bajingan,3
22,kalau cebong pasti memuji prestasi nya presiden jokowi nkalau kampret pasti nyinyir kalau perlu pakai bumbu fitnxa,3
23,lansung tag partainyanga berani ya berarti kau banci,3
24,kalau kafir itu jokowi licik picik dan culas,3
25,setidaknya gue punya jari tengah buat lu sebelom gue ukur nyali sama bacot lu,3
26,statistik lu gembel pks itu partai gurem kursinya cuma secuil di pemerintahan sedikit koruptornyantapi kalo di persentasikan ya jumlahnya sama,3
27,lu munafik mengaku golput tapi panas dingin membela sih kuli cina itu kejang lihat orang kagum sama pemimpin karismatik bukan yang plonga plongox,3
29,ini adalah salah satu iblis betina lg gentayanganduku calon legislatif gagalnsi penipu ijasah palsunskg dia tlh berx,3
30,tetap salah dimata bani kampret katanya tungu kontrak habis jadi ada peluang mencolong kalo jkw periode diperpanjang kontraknya makin tebelah kantong tikus berdasi,3
31,bani kampret memang standar ganda mainya,3
32,president cebong jokowi,3
33,kampret mencret pun kau salahkan pemerintah kok nek,3
34,mungkin kamu smakin bodoh pancasila tap mpr no sudah final pki terlarang kecebong usah rayurayu presiden buat perpu,3
35,maklumin mus mereka itu para anjing pki laknat sih dylan idiot itu lah ketua nya,3
36,chelsea sampah sarap,3
37,teringat dulu ada nk deactivate tapi punya panjang drama dia sampai buat countdown bajingan,3
38,idk man bila kau baik org pijak kepala but when kau buat kepala tak puas hati bodo tul,3
39,dari awal sebelum filmnya tayang juga boleh spoilernbacot anjeng,3
40,alay banget tahi tentara macam apa lo ew banget sih memang tentara ina malu,3
41,kalo jilat sih jokowi munafik baru boleh cebong pun pada mingkem,3
42,percuma perlu di bang kalo orang di hatinya sudah tertanam sifat dan ajaran iblis orang itu pastin lntolerans dan dia akan mngadu domba tabur kebncian sara,3
43,tae isinya banci semwa,3
44,bilang jokowi itu kacung guaitu sangat jujur sekalitapi ebonger diam bisu tuli,3
45,pea kesayangan kecintan bolot sok pintar lemot gua,3
46,as claran anak pintern dongon paling koplakn cantik tapi idot enggak tau malu urat malu putusn but dia muka nya imut banget,3
47,maju lu sini anjing guwe mahu namparin lo brengsek,3
48,kaum radikal dari bani kecebong pengikut mukidi amp penista agama sedang jualan ayat politik di mesjid,3
49,hei kunyuk supaya ente paham ya prabowo subianto jadi capres salah apalagi jadi presiden pas memang pas jadi capres abadi,3
50,kampret nih sih jimyloe duit dari meniru ulama ulama malah goblog loe goblog bin bahlul mendingan copot tuh atribut palsu ganti seragam cebongloe bakalan mati sengsara di adzab sama alah amin liat nanti,3
51,dpr mempunyai legislasi nasional ternakin cebong pk mengomong,3
52,terkutuk engkau,3
53,nih ya baca tahi dong jangan spam kado,3
54,gua top kpk berani meriksa dia dia kpk mah tebang pilih doi kampungan,3
55,kalo buat cebong biadab masalah sih hihihi,3
56,sat kesabaran diuji dia nya kaya babi,3
57,betol tadz keahlian cebong hanya tukang tipu cebong mah goblok ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden plongaplongo duningkrugerefect,3
58,tak ada persatuan dengan para pki silakan rekonsiliasi dengan cebong yang dungu sekolam,3
59,ihcebong cebongagal paham kali kauga salah kalau kena virus cebongjadi dunguhahahaha bisa terima kenyatan yahkasihan deh lo,3
60,nganjing senang dianjingin marah tolol,3
61,woy njing ibumu pelacur ya pantesan kelakuan lu bejad dasar anak haram bruakakakak,3
62,cebong kampretos bilang penting infrastruktur jalan truz apa lain mahal dan naikx xb axbd,3
63,diam kau kampang saya sedang sakit kepala,3
64,aseng teriak aseng kaum munafik,3
65,kata buat lo bajingan,3
66,komunis kau bangsat keluar kalian segera kapan pun di mana pun,3
67,halah bacot kau anti aseng tapi ngimpor juga dari cina wakakakak jilat pantat,3
68,dajal cabul jadi tki dia,3
69,rakyat kaum bani cebong,3
70,apa kau bual sompret,3
71,bajingan anda,3
72,pendukung napi ahok dan jokowi sudah tidak punya akal dan bukan pks kasihan sekali umat cebong,3
73,matanajwadebatjakarta pak anies sudah meningalkan ketenangan dan ketulusanya dalam debat malam ini mjd agitatif dan licik semoga kalah kau anjing,3
74,itu bem sih di itb kemana ya suaranya jangan ikut razim cebong,3
75,tolol lu njink,3
76,sih ke cebong dungu maksud hati pengin cari kesalahanamename lwat pohon plastik malah terbongkar semua skandalnya sekali lagi kasihan ahok gantipresiden,3
77,banyak cebong stres disini,3
78,terbayang sepotong adegan dimana dia kesal karena isi laporan kacau kayak di editnperlu gue katakatain atau gue bajak gebetanya biar sih kunyuk tahu diri,3
79,eh haha iya dp kamu hyunjin anjir nih kao malas nge zom haha,3
80,isnus baru menetes telor kodok sejak sih said agil kolektor cebong bangndan dia idup dari sari comberan hasil buangan makanya dia sl koar tg isnus,3
81,aduh bencong menyerang apa cong kebalik rumpi deh lonte lanang ini dapur apa cong jelas dong banci jangan separo kalah sama anaknya duda designer di ln lox bxbdxefxb,3
82,memang dasar kecoa goblog ngambil uang simpanan dibank dan dikelola bank tanpa seizin nabung dibilang maling,3
83,kampungan banget sih mengomongnya diatas bahas apa lu jawab apa xa dx fxb fsory level berdebat lu dungu otaknyax,3
84,dm gua dibales tahi pulsa hilang woy,3
85,malu maluin anak medan kau ruhutnquiz nsiapa ya yang kalo berkoar suka bawa bawa ras dan menghinan pak ampe foto politikus brengsek ini bakar di makasar,3
86,deh lg dia congor ban serep plonga plongopolitusi kutu kupret,3
87,xcb diam lu buaya,3
88,namanya congor oposisi apalagi isi mulut nya kalo hal negatif pemerintahan berkuasa,3
89,keluarga halilintar hm masa enggak tau udik,3
90,karena terdesak akan kehancuran kampret kian melemah terdegedrasinya elektabilitas junjunganya lalu mohon istilah cebong kampret itu diteruskan distop ndsr kampretnkrn kepepetnakibatnya mencretnlalu,3
91,eh kunyuk itu ngembat dana umroh lu diam apa ikut kebagian ya,3
92,hahahaha alay kamu ngancem nya ngerepospam segala,3
93,bani kampret ya begitulah nafsu berkuasa saja lalu korupsi berjamah seperti kader pks gubernur sumut,3
94,menghadapi cebong harus santai mbakalo santai ngeselin bikin cebong emosi tingix,3
96,kereta bandara tuh tahi banget sih gangu jadwal krl,3
97,pengendalian diri namun sudah muak orang lain terlalu menyepelekan aku takut dan cukup lelah egoism membuatku ingin menjadi sepenuhnya sih jahat bajingan,3
98,brengsek bajingan sih waras gue astaghfirulah,3
99,apandah lu goblog,3
100,ya lu bacot bngst,3
101,rasanya tuh sih tiang listrik kampret li junhui mau gue tabrak pakai bajaj udah dipasangin bom dasar cungkring tau diri,3
103,mendagri namanya cahyo kumolo itu mau lengserkan jokowikarena sih mendagri bangsat deh,3
104,adminya tolol,3
105,goblok permanenxd,3
106,prabowo pengecut menuduh elit goblok dan maling secara serampangan kalo jantan dia menyebut nama orangnya kalo berani berarti banci kemungkinan dia maksud semua ketum partai lawan politiknyahahaha salam periode,3
107,gue tuduh lo anak babi yuk buktikan lo anak orang dengan tes dna ya cepat pakai lama,3
108,katanya sahabat tapi dibelakang kayak tahi,3
113,tae ucink siapa sirikx nemang ganguin kaleandiem lu coeg,3
114,ah bukanya yang selalu gagal paham sih kecebong dongo,3
115,ini kakek ini tau mana kalo dia beri hidayah tau mana kalo dia sesat tau mana kalo dia lebih benar jangan merasa sok benar deh kakek msuk neraka lo akibat terlalu sombong,3
