,text,score,kelas,,,,,,,
1,serius vaksin corona ditemuin,-1,negatif,,,,,,,
2,kesehatan kau corona sembuh mengapai vaksin,1,positif,,,,,,,
3,wapres uea sheikh mohammed terima uji coba vaksin virus corona,0,netral,,,,,,,
4, pengawalan pencabutan izin darurat vaksin covid,0,netral,,,,,,,
5, pemerintahannya dicap tergesagesa jokowi pengadaan vaksin corona hatihati,0,netral,,,,,,,
6, tidakaman uji klinik vaksin covid dihentikan ,-2,negatif,,,,,,,
7,beda vaksin vaksinasi imunisasi,0,netral,,,,,,,
8,vaksin corona gratis bayar jokowi harganya terjangkau,1,positif,,,,,,,
9,gue gendong kucing emak gue kak coba cek infojakarta vaksin gratis gue kaget hah vaksin corona gratis emak gue vaksin corona vaksinnya sih ebong gue menatap ebong hadeh,2,positif,,,,,,,
10,tujuan vaksinasi bagus vaksinasi terbentuk antibody tubuh virus case vaksin covid hasil test nya masyarakat tau hasil resminya nada dipaksa,0,netral,,,,,,,
11, tercepat dunia ya,1,positif,,,,,,,
12, roadmap presiden status kondisi vaksin diperoleh memaksakan resiko ,0,netral,,,,,,,
13, vaksinasi covid november tercepat didunia europe jepang us kuartal hasil test tuntas ,1,positif,,,,,,,
14,sales corona beli menjarain lo lo bungkam salesnya jualan obat vaksin,0,netral,,,,,,,
15,vaksin efektif cegah infeksi penyebaran penyakit menular,-1,negatif,,,,,,,
16,top news koran rakyat merdeka vaksin covid jokowi sejalan nu mui muhammadiyah,0,netral,,,,,,,
17,enam institusi kembangkan vaksin merah putih,0,netral,,,,,,,
18,pakar imunisasi aman vaksin covid uji klinis,1,positif,,,,,,,
19,vaksin latih tubuh kenal lawan kebal penyakit,-2,negatif,,,,,,,
20,top news koran rakyat merdeka soroti pernyataan bpom netizen happy pemerintah jamin vaksin covid aman,1,positif,,,,,,,
21,airlangga tugas bpom menentukan keamanan vaksin sinovac,1,positif,,,,,,,
22,top news koran rakyat merdeka arahan presiden joko widodo vaksin gratis urusan kemenkes vaksin berbayar urusan bumn,1,positif,,,,,,,
23,top news koran rakyat merdeka disuntikkan vaksin merah putih bukti kemandirian ,0,netral,,,,,,,
24,top news koran rakyat merdeka kehalalan vaksin covid mui ruf amin berusaha rakyat tenang aman,2,positif,,,,,,,
25,vaksin meningkatkan imun lawan corona resep ,0,netral,,,,,,,
26, vaksinasi mandiri jokowi harga vaksin corona terjangkau masyarakat,0,netral,,,,,,,
27,jokowi harga vaksin corona terjangkau masyarakat,0,netral,,,,,,,
28, terbukti aman bpom keluarkan izin edar vaksin corona,1,positif,,,,,,,
